timestamp,controlpriority sentbytes,maxpriority_1_sentbytes,maxpriority_2_sentbytes,lowpriority_sentbytes
23:15:03.784,822,,,
23:15:03.792,1065,,,
23:15:03.985,822,,,
23:15:03.987,1065,,,
23:15:04.185,822,,,
23:15:04.188,1065,,,
23:15:04.306,,259,,
23:15:04.306,822,,,
23:15:04.308,1065,,,
23:15:04.386,822,,,
23:15:04.388,1065,,,
23:15:04.588,822,,,
23:15:04.590,1065,,,
23:15:04.786,822,,,
23:15:04.791,1065,,,
23:15:04.985,822,,,
23:15:04.989,1065,,,
23:15:05.188,822,,,
23:15:05.190,1065,,,
23:15:05.305,,259,,
23:15:05.306,822,,,
23:15:05.309,1065,,,
23:15:05.410,822,,,
23:15:05.413,1065,,,
23:15:05.584,822,,,
23:15:05.598,1065,,,
23:15:05.784,822,,,
23:15:05.788,1065,,,
23:15:05.984,822,,,
23:15:05.997,1065,,,
23:15:06.209,822,,,
23:15:06.212,1065,,,
23:15:06.305,,259,,
23:15:06.307,822,,,
23:15:06.311,1065,,,
23:15:06.384,822,,,
23:15:06.386,1065,,,
23:15:06.585,822,,,
23:15:06.588,1065,,,
23:15:06.786,822,,,
23:15:06.788,1065,,,
23:15:06.988,822,,,
23:15:07.026,1065,,,
23:15:07.190,822,,,
23:15:07.193,1065,,,
23:15:07.306,,259,,
23:15:07.306,822,,,
23:15:07.310,1065,,,
23:15:07.389,822,,,
23:15:07.394,1065,,,
23:15:07.582,822,,,
23:15:07.588,1065,,,
23:15:07.783,822,,,
23:15:07.785,1065,,,
23:15:07.992,822,,,
23:15:07.994,1065,,,
23:15:08.187,822,,,
23:15:08.191,1065,,,
23:15:08.305,,259,,
23:15:08.306,822,,,
23:15:08.310,1065,,,
23:15:08.397,822,,,
23:15:08.400,1065,,,
23:15:08.584,822,,,
23:15:08.587,1065,,,
23:15:08.785,822,,,
23:15:08.787,1065,,,
23:15:08.996,822,,,
23:15:09.001,1065,,,
23:15:09.183,822,,,
23:15:09.198,1065,,,
23:15:09.305,,259,,
23:15:09.306,822,,,
23:15:09.309,1065,,,
23:15:09.389,822,,,
23:15:09.392,1065,,,
23:15:09.587,822,,,
23:15:09.589,1065,,,
23:15:09.787,822,,,
23:15:09.792,1065,,,
23:15:09.985,822,,,
23:15:09.987,1065,,,
23:15:10.187,822,,,
23:15:10.192,1065,,,
23:15:10.304,,259,,
23:15:10.305,822,,,
23:15:10.309,1065,,,
23:15:10.393,822,,,
23:15:10.399,1065,,,
23:15:10.592,822,,,
23:15:10.594,1065,,,
23:15:10.786,822,,,
23:15:10.788,1065,,,
23:15:10.986,822,,,
23:15:10.988,1065,,,
23:15:11.185,822,,,
23:15:11.187,1065,,,
23:15:11.306,,259,,
23:15:11.306,822,,,
23:15:11.311,1065,,,
23:15:11.359,3247,,,
23:15:11.383,822,,,
23:15:11.388,1065,,,
23:15:11.581,822,,,
23:15:11.592,1065,,,
23:15:11.785,822,,,
23:15:11.787,1065,,,
23:15:11.988,822,,,
23:15:11.992,1065,,,
23:15:12.256,822,,,
23:15:12.259,1065,,,
23:15:12.305,,259,,
23:15:12.306,822,,,
23:15:12.307,1065,,,
23:15:12.387,822,,,
23:15:12.389,1065,,,
23:15:12.585,822,,,
23:15:12.587,1065,,,
23:15:12.787,822,,,
23:15:12.791,1065,,,
23:15:12.984,822,,,
23:15:12.986,1065,,,
23:15:13.185,822,,,
23:15:13.211,1065,,,
23:15:13.305,,259,,
23:15:13.305,822,,,
23:15:13.307,1065,,,
23:15:13.384,822,,,
23:15:13.387,1065,,,
23:15:13.582,822,,,
23:15:13.586,1065,,,
23:15:13.783,822,,,
23:15:13.785,1065,,,
23:15:13.988,822,,,
23:15:13.990,1065,,,
23:15:14.187,822,,,
23:15:14.188,1065,,,
23:15:14.306,,259,,
23:15:14.306,822,,,
23:15:14.308,1065,,,
23:15:14.389,822,,,
23:15:14.394,1065,,,
23:15:14.583,822,,,
23:15:14.597,1065,,,
23:15:14.784,822,,,
23:15:14.788,1065,,,
23:15:14.983,822,,,
23:15:14.987,1065,,,
23:15:15.182,822,,,
23:15:15.184,1065,,,
23:15:15.306,,259,,
23:15:15.306,822,,,
23:15:15.308,1065,,,
23:15:15.382,822,,,
23:15:15.386,1065,,,
23:15:15.584,822,,,
23:15:15.593,1065,,,
23:15:15.787,822,,,
23:15:15.789,1065,,,
23:15:15.988,822,,,
23:15:15.990,1065,,,
23:15:16.181,822,,,
23:15:16.191,1065,,,
23:15:16.305,,259,,
23:15:16.307,822,,,
23:15:16.311,1065,,,
23:15:16.384,822,,,
23:15:16.389,1065,,,
23:15:16.583,822,,,
